report_no,reporting_date,previous_report_no,previous_reporting_date,drc_summary_ja,uganda_summary_ja,summary_ja,generated_by,openai_model,source,updated_at_utc,notes
N27,2026-06-10,N26,2026-06-09,"N26からN27への更新では、DRCの累積確定例は635例から676例へ41例増加し、死亡例は127例から136例へ9例増加した。新たにKambala, Masereka, Vuhoviの3 health zoneが報告され、影響を受けたhealth zoneは29であった。health zone別では、Bunia+12、Katwa+6、Mongbwalu+5、Rwampara+4などで増加が報告された。接触者追跡率は61.1%から71.8%へ変化した。アラート調査率は89.5%、検査陽性は29件であった。PoC/PoEでは31,413人の通過が記録され、スクリーニング率は98.2%であった。",ウガンダ側はMoH daily pageに基づき累積確定例19例、死亡2例（輸入例14例、国内例5例）である。過去24時間の新規確定例は0例であった。日別確定例データでは2026-06-05を最後に増加が記録され、最新更新日時点で過去7日間、新たな確定例の増加は報告されていない。,"• DRC：N26からN27への更新では、DRCの累積確定例は635例から676例へ41例増加し、死亡例は127例から136例へ9例増加した。新たにKambala, Masereka, Vuhoviの3 health zoneが報告され、影響を受けたhealth zoneは29であった。health zone別では、Bunia+12、Katwa+6、Mongbwalu+5、Rwampara+4などで増加が報告された。接触者追跡率は61.1%から71.8%へ変化した。アラート調査率は89.5%、検査陽性は29件であった。PoC/PoEでは31,413人の通過が記録され、スクリーニング率は98.2%であった。
• ウガンダ：ウガンダ側はMoH daily pageに基づき累積確定例19例、死亡2例（輸入例14例、国内例5例）である。過去24時間の新規確定例は0例であった。日別確定例データでは2026-06-05を最後に増加が記録され、最新更新日時点で過去7日間、新たな確定例の増加は報告されていない。",deterministic-initial,,validated SitRep delta + Uganda MoH EVD daily page,2026-06-12T09:49:56Z,Initial summary bundled with the dashboard. Future summaries are generated at SitRep update time. Latest-situation text is limited to observed/reported changes.
N28,2026-06-11,N27,2026-06-10,コンゴ民主共和国では、確定症例が676件から689件に13件増加し、死亡者数は136人から139人に3人増加しました。29の保健区域のうち、Buniaで6件、Rwamparaで5件、Mongbwaluで4件、Niziで2件の症例増加が報告されました。渡航者97人がスクリーニングされましたが、検査陽性例は報告されていません。,ウガンダでは、確定症例が19件、死亡者数が2人で、輸入症例が14件、国内症例が5件です。過去7日間、新規症例の増加は報告されていません。,"• DRC:確定症例が13件、死亡者数が3人増加し、Bunia、Rwampara、Mongbwalu、Niziの保健区域で症例増加が見られました。渡航者97人がスクリーニングされました。
• ウガンダ:確定症例19件、死亡者2人で、過去7日間新規症例の増加はありません。",openai,gpt-4.1-mini,validated SitRep delta + Uganda MoH EVD daily page,2026-06-13T02:44:53Z,Generated at SitRep update time. The dashboard displays this saved text and does not call OpenAI from the browser. Latest-situation text is limited to observed/reported changes; value judgments are left to the public-health assessment cards.
N30,2026-06-13,N28,2026-06-11,コンゴ民主共和国では、確定症例が689件から782件に93件増加し、死亡者数は139人から181人に42人増加しました。保健区域は29から32に増え、新たにAutres ZS、Mabalako、Nia-Niaが追加されました。Autres ZSでは94件の増加が報告され、MongbwaluやBuniaなど複数の区域でも症例増加が見られました。接触者追跡率は56.5%で、6275人の接触者が追跡中です。空港検疫では4万7525人中4万2772人が検査され、検査カバー率は90%です。,ウガンダでは、確定症例が19件、死亡者数は2人で、輸入症例が14件、国内感染が5件報告されています。過去24時間の新規症例は0件で、7日間連続で症例の増加は報告されていません。,"• DRC:確定症例は782件に増加し、死亡者は181人となりました。保健区域は32に拡大し、複数の区域で症例増加が見られます。接触者追跡率は56.5%、空港検疫の検査カバー率は90%です。
• ウガンダ:確定症例は19件、死亡者は2人で、過去7日間新規症例の増加はありません。",openai,gpt-4.1-mini,validated SitRep delta + Uganda MoH EVD daily page,2026-06-14T19:29:40Z,Generated at SitRep update time. The dashboard displays this saved text and does not call OpenAI from the browser. Latest-situation text is limited to observed/reported changes; value judgments are left to the public-health assessment cards.
N31,2026-06-14,N30,2026-06-13,コンゴ民主共和国では、確定症例が808件に増加し、前日比26件の増加となった。死亡者数は192人で11人増加した。Mongbwalu保健区で11件、NyankundeとKatwaでそれぞれ4件の増加が報告された。接触者追跡率は63.1%に上昇し、最新のPoEスクリーニングカバレッジは94%であった。,ウガンダでは、2026年6月12日時点で確定症例19件、死亡者2人が報告されている。輸入症例が14件、国内感染が5件で、過去7日間新規症例の増加は報告されていない。,"• DRC:確定症例は808件(前日比+26)、死亡者は192人(+11)に増加。Mongbwalu保健区で11件の増加が最大。接触者追跡率は63.1%、PoEスクリーニングカバレッジは94%。
• ウガンダ:確定症例19件、死亡者2人。輸入症例14件、国内感染5件で、7日間新規症例の増加はなし。",openai,gpt-4.1-mini,validated SitRep delta + Uganda MoH EVD daily page,2026-06-16T11:14:01Z,Generated at SitRep update time. The dashboard displays this saved text and does not call OpenAI from the browser. Latest-situation text is limited to observed/reported changes; value judgments are left to the public-health assessment cards.
N32,2026-06-15,N31,2026-06-14,コンゴ民主共和国では、累計確定例が808例から837例に29例増加し、累計死亡者数は192人から196人に4人増加しました。保健区域数は32から31に減少しました。Mongbwaluで10例、Rwamparaで7例、Niziで5例の増加が報告されています。接触者追跡率は63.1%から64.4%に上昇し、6475人の接触者が追跡中です。検査サンプル137件中29件が陽性で、56294人の旅行者中95%が検疫所でスクリーニングを受けました。,ウガンダでは、2026年6月12日時点で累計確定例19例、死亡者2人が報告されています。輸入例が14例、国内感染例が5例です。過去24時間の新規症例は0で、7日間連続で新規増加は報告されていません。,"• DRC:累計確定例は837例、死亡者は196人に増加。MongbwaluやRwamparaなど複数の保健区域で症例増加が見られ、接触者追跡率は64.4%に上昇。検疫所での旅行者スクリーニングは95%のカバー率。
• ウガンダ:累計確定例19例、死亡者2人。輸入例が多く、過去7日間新規症例の増加は報告されていない。",openai,gpt-4.1-mini,validated SitRep delta + Uganda MoH EVD daily page,2026-06-16T20:54:03Z,Generated at SitRep update time. The dashboard displays this saved text and does not call OpenAI from the browser. Latest-situation text is limited to observed/reported changes; value judgments are left to the public-health assessment cards.
N33,2026-06-16,N32,2026-06-15,コンゴ民主共和国では、累計確認例が875件に増加し、前日比38件の増加が報告されました。累計死亡者数は202人で、6人増加しました。新たにFatakiとMusieneneの2つの保健区域が追加され、Rwamparaで13件、Buniaで11件の増加がありました。接触者追跡率は71.6%に上昇し、PoEスクリーニングのカバレッジは98%です。,ウガンダでは、累計確認例は19件、死亡者は2人のままです。輸入例が14件、国内感染例が5件報告されています。過去24時間の新規症例はなく、12日間連続で増加が報告されていません。,"• DRC:累計確認例は875件、死亡者は202人に増加。新たに2つの保健区域が追加され、RwamparaとBuniaで大きな増加があった。接触者追跡率は71.6%、PoEスクリーニングカバレッジは98%。
• ウガンダ:累計確認例19件、死亡者2人。輸入例14件、国内感染5件。過去24時間の新規症例はなく、12日間連続で増加なし。",openai,gpt-4.1-mini,validated SitRep delta + Uganda MoH EVD daily page,2026-06-18T15:29:38Z,Generated at SitRep update time. The dashboard displays this saved text and does not call OpenAI from the browser. Latest-situation text is limited to observed/reported changes; value judgments are left to the public-health assessment cards.
N34,2026-06-17,N33,2026-06-16,2026年6月17日時点で、コンゴ民主共和国の累計確認例は896件で、前日から21件増加しました。累計死亡者数は232人で30人増加しました。新たにDrodro保健区が追加され、Nyankunde、Rwampara、Buniaなど複数の保健区で症例数が増加しています。検査や接触者追跡は報告されていませんが、96人の旅行者がスクリーニングを受けました。,ウガンダでは2026年6月17日時点で累計確認例が19件、死亡者数は2人です。輸入例が14件、国内感染例が5件報告されています。過去12日間、新規症例の増加は報告されていません。,"• DRC:累計確認例は896件(+21)、死亡者は232人(+30)です。新たにDrodro保健区が追加され、複数の保健区で症例数が増加しています。旅行者96人がスクリーニングを受けました。
• ウガンダ:累計確認例19件、死亡者2人で、輸入例14件、国内感染例5件です。過去12日間、新規症例の増加はありません。",openai,gpt-4.1-mini,validated SitRep delta + Uganda MoH EVD daily page,2026-06-18T20:29:09Z,Generated at SitRep update time. The dashboard displays this saved text and does not call OpenAI from the browser. Latest-situation text is limited to observed/reported changes; value judgments are left to the public-health assessment cards.
N35,2026-06-18,N34,2026-06-17,コンゴ民主共和国では、累計確認例が933件に増加し、前日比37件の増加となった。累計死亡者数は245人で13人増加した。MongbwaluとNyankundeの保健区でそれぞれ9件の増加が報告されている。空港検疫では95人が検査されたが、陽性例は報告されていない。,ウガンダでは、累計確認例が19件、死亡者数は2人のままである。輸入例が14件、国内感染例が5件報告されている。過去12日間、新規感染者の増加は報告されていない。,"• DRC:累計確認例は933件(前日比+37)、死亡者245人(+13)。MongbwaluとNyankunde保健区で9件ずつ増加。空港検疫で95人検査、陽性例なし。
• ウガンダ:累計確認例19件、死亡者2人。輸入例14件、国内感染5件。12日間新規感染者の増加なし。",openai,gpt-4.1-mini,validated SitRep delta + Uganda MoH EVD daily page,2026-06-20T14:07:50Z,Generated at SitRep update time. The dashboard displays this saved text and does not call OpenAI from the browser. Latest-situation text is limited to observed/reported changes; value judgments are left to the public-health assessment cards.
N36,2026-06-19,N35,2026-06-18,2026年6月19日時点で、コンゴ民主共和国の累計確認例は956件で、前日から23件増加しました。累計死亡者数は247人で2人増加しました。Mongbwalu、Bunia、Nyankunde、Rwampara、Katwaの保健区で症例の増加が報告されています。空港検疫では98人がスクリーニングされましたが、陽性例は報告されていません。,ウガンダでは2026年6月17日時点で累計確認例19件、死亡者2人です。輸入症例が14件、国内感染が5件報告されています。過去12日間、新規症例の増加は報告されていません。,"• DRC:累計確認例は956件(+23)、死亡者247人(+2)。MongbwaluやBuniaなど複数の保健区で症例増加。空港検疫で98人をスクリーニング。
• ウガンダ:累計確認例19件、死亡者2人。輸入症例14件、国内感染5件。12日間新規増加なし。",openai,gpt-4.1-mini,validated SitRep delta + Uganda MoH EVD daily page,2026-06-20T19:29:16Z,Generated at SitRep update time. The dashboard displays this saved text and does not call OpenAI from the browser. Latest-situation text is limited to observed/reported changes; value judgments are left to the public-health assessment cards.
N37,2026-06-20,N36,2026-06-19,2026年6月20日時点で、コンゴ民主共和国の累計確定例は1003件で、前日から47件増加した。累計死亡者数は254人で7人増加した。保健区域33か所に変化はなく、Buniaで16件、Mongbwaluで11件、Rwamparaで10件の増加が報告された。空港検疫では98人が検査されたが、陽性例はなかった。,2026年6月21日時点で、ウガンダの累計確定例は20件、死亡者は2人である。輸入例が15件、国内感染例が5件報告されている。直近24時間で新規症例は1件増加し、増加が報告されたのは当日である。,"• DRC:累計確定例は1003件(+47)、死亡者254人(+7)。Bunia、Mongbwalu、Rwamparaでの症例増加が目立つ。空港検疫で98人検査、陽性なし。
• ウガンダ:累計確定例20件、死亡2人。輸入例15件、国内感染5件。直近24時間で1件増加し、増加は当日報告された。",openai,gpt-4.1-mini,validated SitRep delta + Uganda MoH EVD daily page,2026-06-22T17:09:53Z,Generated at SitRep update time. The dashboard displays this saved text and does not call OpenAI from the browser. Latest-situation text is limited to observed/reported changes; value judgments are left to the public-health assessment cards.
