date,report_no,observed_sitrep,cumulative_confirmed,cumulative_deaths,crude_cfr,delay_adjusted_cfr,delay_adjusted_cfr_low,delay_adjusted_cfr_high,adjusted_denominator,raw_delay_adjusted_denominator,delay_median_days,delay_scale_days,ci_method,method
2026-05-14,N1,1,8.0,4.0,0.5,1.0,0.5101,1.0,4.0,0.459,7.0,2.5,wilson_95_ci_conditional_on_fixed_delay_distribution,report_to_death_delay_adjusted_cfr_logistic_cdf
2026-05-15,,0,14.25,4.0,0.2807,1.0,0.5101,1.0,4.0,1.024,7.0,2.5,wilson_95_ci_conditional_on_fixed_delay_distribution,report_to_death_delay_adjusted_cfr_logistic_cdf
2026-05-16,,0,20.5,4.0,0.1951,1.0,0.5101,1.0,4.0,1.832,7.0,2.5,wilson_95_ci_conditional_on_fixed_delay_distribution,report_to_death_delay_adjusted_cfr_logistic_cdf
2026-05-17,,0,26.75,4.0,0.1495,1.0,0.5101,1.0,4.0,2.967,7.0,2.5,wilson_95_ci_conditional_on_fixed_delay_distribution,report_to_death_delay_adjusted_cfr_logistic_cdf
2026-05-18,N4,1,33.0,4.0,0.1212,0.884,0.4281,0.9873,4.525,4.525,7.0,2.5,wilson_95_ci_conditional_on_fixed_delay_distribution,report_to_death_delay_adjusted_cfr_logistic_cdf
2026-05-19,N5,1,51.0,4.0,0.0784,0.5499,0.2397,0.8257,7.273,7.273,7.0,2.5,wilson_95_ci_conditional_on_fixed_delay_distribution,report_to_death_delay_adjusted_cfr_logistic_cdf
2026-05-20,N6,1,64.0,6.0,0.0938,0.5643,0.2912,0.8033,10.632,10.632,7.0,2.5,wilson_95_ci_conditional_on_fixed_delay_distribution,report_to_death_delay_adjusted_cfr_logistic_cdf
2026-05-21,N7,1,83.0,9.0,0.1084,0.5898,0.3504,0.7931,15.259,15.259,7.0,2.5,wilson_95_ci_conditional_on_fixed_delay_distribution,report_to_death_delay_adjusted_cfr_logistic_cdf
2026-05-22,N8,1,91.0,10.0,0.1099,0.4897,0.2924,0.6903,20.419,20.419,7.0,2.5,wilson_95_ci_conditional_on_fixed_delay_distribution,report_to_death_delay_adjusted_cfr_logistic_cdf
2026-05-23,N9,1,101.0,10.0,0.099,0.3747,0.2181,0.5629,26.686,26.686,7.0,2.5,wilson_95_ci_conditional_on_fixed_delay_distribution,report_to_death_delay_adjusted_cfr_logistic_cdf
