reference_report_no,reference_date,province,health_zone,cumulative_confirmed,cumulative_deaths,last_increase_report_date,days_since_last_increase,activity_status,status_label_ja,status_label_en,status_label_fr,status_sort,source,notes
N100,2026-08-22,Ituri,Bunia,1279,402,2026-08-22,0,active_0_21,継続警戒,Active vigilance,Vigilance active,1,SitRep N100/MVB,Reporting-date proxy based on the last SitRep date where cumulative confirmed cases increased for this health zone; not onset or exposure date.
N100,2026-08-22,Ituri,Rwampara,902,334,2026-08-22,0,active_0_21,継続警戒,Active vigilance,Vigilance active,1,SitRep N100/MVB,Reporting-date proxy based on the last SitRep date where cumulative confirmed cases increased for this health zone; not onset or exposure date.
N100,2026-08-22,Ituri,Nizi,609,252,2026-08-22,0,active_0_21,継続警戒,Active vigilance,Vigilance active,1,SitRep N100/MVB,Reporting-date proxy based on the last SitRep date where cumulative confirmed cases increased for this health zone; not onset or exposure date.
N100,2026-08-22,Nord-Kivu,Katwa,342,229,2026-08-22,0,active_0_21,継続警戒,Active vigilance,Vigilance active,1,SitRep N100/MVB,Reporting-date proxy based on the last SitRep date where cumulative confirmed cases increased for this health zone; not onset or exposure date.
N100,2026-08-22,Ituri,Lita,196,108,2026-08-22,0,active_0_21,継続警戒,Active vigilance,Vigilance active,1,SitRep N100/MVB,Reporting-date proxy based on the last SitRep date where cumulative confirmed cases increased for this health zone; not onset or exposure date.
N100,2026-08-22,Ituri,Nia-Nia,191,107,2026-08-22,0,active_0_21,継続警戒,Active vigilance,Vigilance active,1,SitRep N100/MVB,Reporting-date proxy based on the last SitRep date where cumulative confirmed cases increased for this health zone; not onset or exposure date.
N100,2026-08-22,Nord-Kivu,Butembo,137,106,2026-08-22,0,active_0_21,継続警戒,Active vigilance,Vigilance active,1,SitRep N100/MVB,Reporting-date proxy based on the last SitRep date where cumulative confirmed cases increased for this health zone; not onset or exposure date.
N100,2026-08-22,Ituri,Bambu,127,28,2026-08-22,0,active_0_21,継続警戒,Active vigilance,Vigilance active,1,SitRep N100/MVB,Reporting-date proxy based on the last SitRep date where cumulative confirmed cases increased for this health zone; not onset or exposure date.
N100,2026-08-22,Nord-Kivu,Beni,114,84,2026-08-22,0,active_0_21,継続警戒,Active vigilance,Vigilance active,1,SitRep N100/MVB,Reporting-date proxy based on the last SitRep date where cumulative confirmed cases increased for this health zone; not onset or exposure date.
N100,2026-08-22,Haut-Uélé,Isiro,67,28,2026-08-22,0,active_0_21,継続警戒,Active vigilance,Vigilance active,1,SitRep N100/MVB,Reporting-date proxy based on the last SitRep date where cumulative confirmed cases increased for this health zone; not onset or exposure date.
N100,2026-08-22,Ituri,Komanda,58,38,2026-08-22,0,active_0_21,継続警戒,Active vigilance,Vigilance active,1,SitRep N100/MVB,Reporting-date proxy based on the last SitRep date where cumulative confirmed cases increased for this health zone; not onset or exposure date.
