zone_id,zone_name,province,rwi_mean,rwi_median,rwi_min,rwi_max,rwi_p25,rwi_p75,rwi_error_mean,n_rwi_points,area_km2,lat,lon,rwi_original_median,rwi_percentile,rwi_quintile
LOm8B3vy1qR,Aketi,Bas-Uele,-0.5501828571428571,-0.566,-1.284,0.507,-0.694,-0.4355,0.3799885714285714,175,15707.28045,2.687121964515077,23.802613068932096,-0.566,9.245742092457421,Q1 lowest relative wealth
,Ango,Bas-Uele,-0.5314630872483221,-0.562,-1.06,0.229,-0.681,-0.417,0.3772818791946309,149,34314.69863,4.471799137061423,26.072628419673254,-0.562,10.218978102189782,Q1 lowest relative wealth
,Bili,Bas-Uele,-0.6022336448598131,-0.577,-1.555,-0.238,-0.703,-0.4655,0.372196261682243,107,21110.30468,4.196390179234513,24.64231353162212,-0.577,7.0559610705596105,Q1 lowest relative wealth
ebKZ38Ejpb5,Bondo,Bas-Uele,-0.5613154761904762,-0.5645,-1.338,0.597,-0.735,-0.39525,0.3713273809523809,168,8818.76839,4.090313461359931,23.733561075144767,-0.5645,9.48905109489051,Q1 lowest relative wealth
pggZxV6O3iF,Buta,Bas-Uele,-0.5232878787878789,-0.5345,-1.325,0.724,-0.6597500000000001,-0.387,0.3827020202020202,198,10346.45914,2.72573991970671,25.012452875506483,-0.5345,13.86861313868613,Q1 lowest relative wealth
QU7amTjhWlQ,Ganga,Bas-Uele,-0.6340857142857144,-0.6335,-1.529,0.218,-0.76025,-0.488,0.3833714285714286,280,9884.41584,3.0929173009143858,25.973004414823897,-0.6335,1.2165450121654502,Q1 lowest relative wealth
wqWNVs3uxpv,Likati,Bas-Uele,-0.6180193548387097,-0.614,-1.441,0.088,-0.7535000000000001,-0.457,0.3788193548387096,155,12114.34791,3.3502891496481886,23.716431603280764,-0.614,2.9197080291970803,Q1 lowest relative wealth
jFTjaBOa844,Monga,Bas-Uele,-0.5416777777777777,-0.5640000000000001,-1.134,0.099,-0.683,-0.402,0.3763111111111111,90,7712.89393,4.308239187558055,23.028133761300587,-0.5640000000000001,9.732360097323602,Q1 lowest relative wealth
EgtXyZdGsLP,Titule,Bas-Uele,-0.6523222222222222,-0.642,-1.315,-0.058,-0.80725,-0.45725,0.3767111111111111,90,6676.51668,2.9644408177692587,25.484679973137776,-0.642,0.7299270072992701,Q1 lowest relative wealth
,Viadana,Bas-Uele,-0.5930539215686275,-0.5685,-1.366,0.511,-0.7515000000000001,-0.42,0.3934509803921568,204,3657.49792,3.055645815563022,27.34864153126105,-0.5685,8.75912408759124,Q1 lowest relative wealth
,Basankusu,Equateur,-0.568232,-0.571,-1.214,0.179,-0.7164999999999999,-0.41925,0.3666999999999999,250,11518.13192,0.9281184499283226,19.87189645027623,-0.571,8.27250608272506,Q1 lowest relative wealth
,Bikoro,Equateur,-0.4830443037974683,-0.4705,-1.345,0.16,-0.6445000000000001,-0.29525,0.374993670886076,158,4691.97058,-0.4659836463873681,18.231392138909957,-0.4705,24.574209245742093,Q2
MMnBp2lllhf,Bolenge,Equateur,-0.5053333333333333,-0.5,-1.29,0.403,-0.692,-0.3369999999999999,0.3797460317460317,63,1074.56454,-0.195910899872796,18.059529051683477,-0.5,18.734793187347933,Q1 lowest relative wealth
lW6uPgrLYfi,Bolomba,Equateur,-0.697789603960396,-0.688,-1.539,0.241,-0.873,-0.5465,0.3698836633663366,404,11873.02664,0.3502226683822969,19.09099543843012,-0.688,0.24330900243309003,Q1 lowest relative wealth
dseqqnd0Nuw,Bomongo,Equateur,-0.5968412698412698,-0.555,-1.614,0.028,-0.73025,-0.4425,0.3770476190476191,126,10750.53912,1.497656998429208,18.439234394751832,-0.555,10.948905109489052,Q1 lowest relative wealth
,Iboko,Equateur,-0.5634014598540146,-0.572,-1.193,0.139,-0.727,-0.377,0.3722408759124087,137,2897.99062,-0.9810190219224452,18.54677118476036,-0.572,7.785888077858881,Q1 lowest relative wealth
ER2ozdS2Ysm,Ingende,Equateur,-0.5533453608247423,-0.55,-1.424,0.26,-0.70175,-0.4155,0.3653350515463917,194,4924.01964,-0.4458907068096685,18.82946577622409,-0.55,11.435523114355231,Q1 lowest relative wealth
p40o8g3kdQL,Irebu,Equateur,-0.4434642857142857,-0.4665,-1.024,0.11,-0.6125,-0.25975,0.3719285714285714,56,1513.63504,-0.7438975162090375,17.66369206072642,-0.4665,25.547445255474454,Q2
,LOTUMBE,Equateur,-0.6115343915343915,-0.62,-1.22,0.253,-0.752,-0.469,0.3622804232804233,189,11174.50657,-0.6881042264119485,19.633379449920067,-0.62,1.9464720194647203,Q1 lowest relative wealth
,Lilanga,Equateur,-0.5229482758620689,-0.5395000000000001,-1.04,-0.009,-0.66325,-0.39025,0.3719137931034483,58,4429.55623,0.1781704866308052,17.977594691611046,-0.5395000000000001,12.895377128953772,Q1 lowest relative wealth
,Lolanga Mampoko,Equateur,-0.6384308510638298,-0.624,-1.312,0.154,-0.8015000000000001,-0.489,0.373436170212766,188,7117.33747,0.8646784109676023,18.713306672280577,-0.624,1.4598540145985401,Q1 lowest relative wealth
hH0vfyk0M5B,Lukolela,Equateur,-0.5300833333333334,-0.5055000000000001,-1.582,0.136,-0.706,-0.3585,0.376074074074074,108,7305.9486,-1.4305539739358504,17.110544697963174,-0.5055000000000001,18.004866180048662,Q1 lowest relative wealth
nXXpnAQ8M3v,Makanza,Equateur,-0.5691233766233766,-0.578,-1.384,0.629,-0.74425,-0.4185,0.3731298701298701,154,5265.33406,1.5455740141089298,19.06963486289601,-0.578,6.81265206812652,Q1 lowest relative wealth
DmRUZqBRNzB,Mbandaka,Equateur,-0.4198676470588235,-0.4325,-1.225,1.253,-0.767,-0.208,0.3914705882352941,68,1140.49645,0.219984858745741,18.391543467419535,-0.4325,36.25304136253041,Q2
,Monieka,Equateur,-0.617312,-0.604,-1.407,-0.052,-0.761,-0.445,0.36368,125,6813.96138,0.0614892583199465,19.993293214512686,-0.604,3.40632603406326,Q1 lowest relative wealth
,Ntondo,Equateur,-0.4799,-0.4325,-1.365,0.1,-0.63275,-0.291,0.3754666666666666,90,4239.0062,-1.0759837562467558,17.91199729539569,-0.4325,36.25304136253041,Q2
J0LvPM9HPVN,Wangata,Equateur,0.2856666666666667,0.254,-0.376,1.189,-0.2035,0.62525,0.4266666666666667,6,64.28908,0.0543645489238901,18.23065124190952,0.254,87.8345498783455,Q5 highest relative wealth
GpdRlogsSiE,Kafubu,Haut-Katanga,-0.3797740740740741,-0.415,-1.235,0.691,-0.53925,-0.24425,0.3763888888888889,270,7491.55032,-11.595497357149528,28.03522742472046,-0.415,43.30900243309003,Q3
NR5cDy2jhiJ,Kambove,Haut-Katanga,-0.2933930348258706,-0.331,-0.963,1.201,-0.481,-0.17,0.3855422885572139,201,2619.28888,-10.775363107674512,26.650975334776767,-0.331,67.2749391727494,Q4
