month,origin_id,destination_id,movement
2020-04,i2mtQy4nTmD,wTaqhPcijDM,8
2020-04,RjHZChl5gJQ,F0zQH8NbaIx,8
2020-04,v8PqffapuVl,xZy8t34pvs6,8
2020-04,GPi6i83o7l6,Z3DMBdrM8Df,8
2020-04,GPi6i83o7l6,qbe5m6fVfMT,8
2020-04,v8PqffapuVl,ShcGSNMpF7z,8
2020-04,i2mtQy4nTmD,nbSOIch7Mbc,8
2020-04,RjHZChl5gJQ,vvrhCzWzc0J,8
2020-04,GPi6i83o7l6,JhJFxKnFvmJ,8
2020-04,GPi6i83o7l6,xZy8t34pvs6,8
2020-04,RjHZChl5gJQ,D1jF9OzETge,8
2020-04,vPxN2nZnBXK,gMhYDNcoZSe,8
2020-04,GPi6i83o7l6,nbSOIch7Mbc,8
2020-04,GPi6i83o7l6,BjbUZ5acV7t,8
2020-04,RjHZChl5gJQ,L3vMLScAbZ6,8
2020-04,v8PqffapuVl,ubl3NORPhsC,8
2020-04,i2mtQy4nTmD,m5B0okd0KaZ,8
2020-04,v8PqffapuVl,tCLXgZBBLQ0,8
2020-04,GPi6i83o7l6,UrJlHRGZGGJ,8
2020-04,GPi6i83o7l6,SqWL31RNyKx,8
2020-04,i2mtQy4nTmD,tCLXgZBBLQ0,8
2020-04,RjHZChl5gJQ,nbSOIch7Mbc,8
2020-04,nv8tx681Gjd,ubl3NORPhsC,8
2020-04,vPxN2nZnBXK,uw3SOxNTDP4,8
2020-04,i2mtQy4nTmD,ZTt8HbFGrY4,8
2020-04,RjHZChl5gJQ,tCLXgZBBLQ0,8
2020-04,GPi6i83o7l6,uw3SOxNTDP4,8
2020-04,nv8tx681Gjd,gMhYDNcoZSe,8
2020-04,GPi6i83o7l6,oeP2sQLMCuy,8
2020-04,GPi6i83o7l6,F0zQH8NbaIx,8
2020-04,i2mtQy4nTmD,SqWL31RNyKx,8
2020-04,GPi6i83o7l6,ubl3NORPhsC,8
2020-04,GPi6i83o7l6,m5B0okd0KaZ,8
2020-04,GPi6i83o7l6,ShcGSNMpF7z,8
2020-04,GPi6i83o7l6,tCLXgZBBLQ0,8
2020-04,RjHZChl5gJQ,gMhYDNcoZSe,8
2020-04,GPi6i83o7l6,gMhYDNcoZSe,8
2020-04,RjHZChl5gJQ,UrJlHRGZGGJ,8
2020-04,GPi6i83o7l6,vvrhCzWzc0J,8
2020-04,RjHZChl5gJQ,ShcGSNMpF7z,8
2020-04,GPi6i83o7l6,rK2ODHilbAP,8
2020-04,v8PqffapuVl,m0D9iUAjJ1G,8
2020-04,vPxN2nZnBXK,m5B0okd0KaZ,8
2020-04,GPi6i83o7l6,m0D9iUAjJ1G,8
2020-04,GPi6i83o7l6,L3vMLScAbZ6,8
2020-04,nv8tx681Gjd,UrJlHRGZGGJ,8
2020-04,RjHZChl5gJQ,BjbUZ5acV7t,8
2020-04,GPi6i83o7l6,Zbg4fiy6f3t,8
2020-04,GPi6i83o7l6,DZV9ipxIsg1,8
2020-04,nv8tx681Gjd,pFhuqRaXTSO,8
2020-04,GPi6i83o7l6,J0LvPM9HPVN,8
2020-04,GPi6i83o7l6,DmRUZqBRNzB,8
2020-04,RjHZChl5gJQ,F2sZHvPlln6,8
2020-04,i2mtQy4nTmD,Yo6u0UIHrfc,8
2020-04,RjHZChl5gJQ,Xol9qIrf1Gi,8
2020-04,RjHZChl5gJQ,Yo6u0UIHrfc,8
2020-04,GPi6i83o7l6,a0M4XJunan2,8
2020-04,GPi6i83o7l6,Yo6u0UIHrfc,8
2020-04,GPi6i83o7l6,Xol9qIrf1Gi,8
2020-04,RjHZChl5gJQ,jaNYqjAceGA,8
2020-04,i2mtQy4nTmD,pLBZiohnxFC,8
2020-04,nv8tx681Gjd,ZHIrX4z487c,15
