date,report_no,observed_sitrep,new_confirmed,new_confirmed_smoothed,rt_median,rt_low,rt_high,generation_time_mean_days,generation_time_sd_days,method
2026-05-14,N1,1,8.0,8.0,,,,15.0,6.0,renewal_equation_approx_reported_cases
2026-05-15,,0,1.667,4.833,,,,15.0,6.0,renewal_equation_approx_reported_cases
2026-05-16,,0,1.667,3.778,,,,15.0,6.0,renewal_equation_approx_reported_cases
2026-05-17,N2,1,1.667,1.667,,,,15.0,6.0,renewal_equation_approx_reported_cases
2026-05-18,N4,1,20.0,7.778,,,,15.0,6.0,renewal_equation_approx_reported_cases
2026-05-19,N5,1,18.0,13.222,,,,15.0,6.0,renewal_equation_approx_reported_cases
2026-05-20,N6,1,13.0,17.0,,,,15.0,6.0,renewal_equation_approx_reported_cases
2026-05-21,N7,1,19.0,16.667,42.247,26.139,68.282,15.0,6.0,renewal_equation_approx_reported_cases
2026-05-22,N8,1,8.0,13.333,20.47,11.967,35.013,15.0,6.0,renewal_equation_approx_reported_cases
2026-05-23,N9,1,10.0,12.333,11.929,6.827,20.845,15.0,6.0,renewal_equation_approx_reported_cases
2026-05-24,N10,1,4.0,7.333,4.686,2.272,9.663,15.0,6.0,renewal_equation_approx_reported_cases
2026-05-25,N11,1,1.0,5.0,2.228,0.927,5.352,15.0,6.0,renewal_equation_approx_reported_cases
2026-05-26,N12,1,15.0,6.667,2.189,1.025,4.677,15.0,6.0,renewal_equation_approx_reported_cases
2026-05-27,N13,1,4.0,6.667,1.703,0.797,3.638,15.0,6.0,renewal_equation_approx_reported_cases
2026-05-28,N14,1,85.0,34.667,7.239,5.189,10.099,15.0,6.0,renewal_equation_approx_reported_cases
2026-05-29,N15,1,53.0,47.333,8.436,6.345,11.216,15.0,6.0,renewal_equation_approx_reported_cases
2026-05-30,N16,1,19.0,52.333,8.22,6.269,10.778,15.0,6.0,renewal_equation_approx_reported_cases
2026-05-31,N17,1,39.0,37.0,5.194,3.763,7.168,15.0,6.0,renewal_equation_approx_reported_cases
2026-06-01,N18,1,23.0,27.0,3.37,2.311,4.914,15.0,6.0,renewal_equation_approx_reported_cases
2026-06-02,N19,1,19.0,27.0,2.954,2.026,4.307,15.0,6.0,renewal_equation_approx_reported_cases
2026-06-03,N20,1,18.0,20.0,1.893,1.222,2.935,15.0,6.0,renewal_equation_approx_reported_cases
2026-06-04,N21,1,71.0,36.0,2.937,2.119,4.072,15.0,6.0,renewal_equation_approx_reported_cases
2026-06-05,N22,1,36.0,41.667,2.948,2.176,3.994,15.0,6.0,renewal_equation_approx_reported_cases
2026-06-06,N23,1,27.0,44.667,2.777,2.071,3.724,15.0,6.0,renewal_equation_approx_reported_cases
2026-06-07,N24,1,35.0,32.667,1.812,1.286,2.553,15.0,6.0,renewal_equation_approx_reported_cases
2026-06-08,N25,1,48.0,36.667,1.839,1.33,2.541,15.0,6.0,renewal_equation_approx_reported_cases
2026-06-09,N26,1,37.0,40.0,1.836,1.346,2.503,15.0,6.0,renewal_equation_approx_reported_cases
2026-06-10,N27,1,41.0,42.0,1.783,1.317,2.412,15.0,6.0,renewal_equation_approx_reported_cases
2026-06-11,N28,1,13.0,30.333,1.202,0.842,1.715,15.0,6.0,renewal_equation_approx_reported_cases
2026-06-12,,0,46.5,33.5,1.249,0.89,1.752,15.0,6.0,renewal_equation_approx_reported_cases
2026-06-13,N30,1,46.5,35.333,1.248,0.897,1.735,15.0,6.0,renewal_equation_approx_reported_cases
2026-06-14,N31,1,26.0,39.667,1.338,0.98,1.826,15.0,6.0,renewal_equation_approx_reported_cases
2026-06-15,N32,1,29.0,33.833,1.096,0.783,1.535,15.0,6.0,renewal_equation_approx_reported_cases
