as_of_date,as_of_label,cumulative_confirmed_cases,imported_cases,local_cases,new_cases_last_24h,current_admissions,recoveries,cumulative_deaths,total_persons_tested,all_time_contacts_listed,active_contacts_under_followup,completed_21day_followup,total_alerts,alerts_verified,poe_screened_last_24h,poe_inbound_last_24h,poe_outbound_last_24h,source_url,notes,fetched_at_utc
2026-06-11,"Thursday, 11 June 2026",19,14,5,0,12,5,2,1204,820,409,394,604,594,0,0,0,https://evd-daily.health.go.ug/,Historical Uganda EVD snapshot retained for no-increase calculation.,2026-06-11T00:00:00Z
2026-06-12,"Friday, 12 June 2026",19,14,5,0,12,5,2,1204,820,409,394,604,594,0,0,0,https://evd-daily.health.go.ug/,Updated from Uganda Ministry of Health Ebola Updates dashboard. Latest screenshot reviewed by user showed no new cases in the last 24 hours.,2026-06-12T10:14:37Z
2026-06-17,"Wednesday, 17 June 2026",19,14,5,0,12,5,2,1204,820,409,394,604,594,0,0,0,https://evd-daily.health.go.ug/,"Historical Uganda EVD snapshot; cumulative total unchanged, therefore zero new confirmed cases recorded since previous report.",2026-06-17T00:00:00Z
2026-06-20,"Saturday, 20 June 2026",19,14,5,0,6,11,2,1722,826,70,746,604,594,5465,2105,1714,https://evd-daily.health.go.ug/,Updated from Uganda Ministry of Health Ebola Updates dashboard. Cumulative total unchanged; missing dates since prior as-of date are recorded as zero new confirmed cases.,2026-06-20T00:00:00Z
2026-06-21,"Sunday, 21 June 2026",20,15,5,1,4,14,2,1787,826,56,760,604,594,5465,2105,1714,https://evd-daily.health.go.ug/,Updated from Uganda Ministry of Health Ebola Updates dashboard. One additional imported confirmed case was reported on 21 Jun 2026.,2026-06-22T02:26:25+00:00
2026-06-28,"Sunday, 28 June 2026",20,15,5,0,3,15,2,1869,831,5,816,604,594,5465,2105,1714,https://evd-daily.health.go.ug/,Updated from Uganda Ministry of Health Ebola Updates dashboard. Cumulative confirmed cases unchanged since 21 Jun 2026; intervening dates recorded as zero new confirmed cases.,2026-06-29T04:37:41+00:00
2026-07-02,"Thursday, 02 July 2026",20,15,5,0,3,15,2,2152,831,0,821,604,594,5465,2105,1714,https://evd-daily.health.go.ug/,Updated from Uganda Ministry of Health Ebola Updates dashboard. Cumulative confirmed cases unchanged since 21 Jun 2026; intervening dates recorded as zero new confirmed cases.,2026-07-02T00:00:00+00:00
2026-07-05,,20,15,5,,,,2,,,,,,,,,,https://evd-daily.health.go.ug/,Updated from Uganda Ministry of Health Ebola Updates dashboard.,
2026-07-08,"Wednesday, 08 July 2026",20,15,5,0,1,17,2,2242,831,0,821,604,594,5465,2105,1714,https://evd-daily.health.go.ug/,Updated from Uganda Ministry of Health Ebola Updates dashboard. Cumulative confirmed cases unchanged since 21 Jun 2026; intervening dates recorded as zero new confirmed cases.,2026-07-08T15:10:18+00:00
2026-07-12,"Sunday, 12 July 2026",20,15,5,0,1,17,2,2482,831,0,821,604,594,5465,2105,1714,https://evd-daily.health.go.ug/,Updated from Uganda Ministry of Health Ebola Updates dashboard. Cumulative confirmed cases unchanged since 21 Jun 2026; intervening dates recorded as zero new confirmed cases.,
